session,subject,n_cells,t_count,pipeline,wall_s
Allen_2022-02-16,Allen,113,1,methods,1.7172155838925391
Allen_2022-02-16,Allen,113,1,legacy,8.739195691188797
Allen_2022-02-16,Allen,113,2,methods,1.0173879170324653
Allen_2022-02-16,Allen,113,2,legacy,3.0837420360185206
Allen_2022-02-16,Allen,113,3,methods,0.8162542311474681
Allen_2022-02-16,Allen,113,3,legacy,1.830155136063695
Allen_2022-02-16,Allen,113,6,methods,0.5520926839672029
Allen_2022-02-16,Allen,113,6,legacy,0.8953695581294596
Allen_2022-02-18,Allen,76,1,methods,1.396364571992308
Allen_2022-02-18,Allen,76,1,legacy,5.381262548966333
Allen_2022-02-18,Allen,76,2,methods,0.8496259481180459
Allen_2022-02-18,Allen,76,2,legacy,2.3775686260778457
Allen_2022-02-18,Allen,76,3,methods,0.6689232820644975
Allen_2022-02-18,Allen,76,3,legacy,1.5522844318766147
Allen_2022-02-18,Allen,76,6,methods,0.4421848200727254
Allen_2022-02-18,Allen,76,6,legacy,0.8387674121186137
Allen_2022-02-24,Allen,149,1,methods,1.8380509719718248
Allen_2022-02-24,Allen,149,1,legacy,6.83767231204547
Allen_2022-02-24,Allen,149,2,methods,1.0747658798936754
Allen_2022-02-24,Allen,149,2,legacy,3.0991209410130978
Allen_2022-02-24,Allen,149,3,methods,0.8984485939145088
Allen_2022-02-24,Allen,149,3,legacy,1.986578508047387
Allen_2022-02-24,Allen,149,6,methods,0.7273777381051332
Allen_2022-02-24,Allen,149,6,legacy,0.9917631100397557
Allen_2022-03-02,Allen,131,1,methods,2.2861163730267435
Allen_2022-03-02,Allen,131,1,legacy,7.804193223128095
Allen_2022-03-02,Allen,131,2,methods,1.2627102558035403
Allen_2022-03-02,Allen,131,2,legacy,3.4822568660601974
Allen_2022-03-02,Allen,131,3,methods,0.9466980521101505
Allen_2022-03-02,Allen,131,3,legacy,2.24552651704289
Allen_2022-03-02,Allen,131,6,methods,0.7795821421314031
Allen_2022-03-02,Allen,131,6,legacy,1.0677260919474065
Allen_2022-03-04,Allen,158,1,methods,2.5069728509988636
Allen_2022-03-04,Allen,158,1,legacy,9.147495073033497
Allen_2022-03-04,Allen,158,2,methods,1.349399812053889
Allen_2022-03-04,Allen,158,2,legacy,4.143984328024089
Allen_2022-03-04,Allen,158,3,methods,1.0336781730875373
Allen_2022-03-04,Allen,158,3,legacy,2.6361883820500225
Allen_2022-03-04,Allen,158,6,methods,0.8555644899606705
Allen_2022-03-04,Allen,158,6,legacy,1.3084321289788932
Allen_2022-03-30,Allen,160,1,methods,3.013482086127624
Allen_2022-03-30,Allen,160,1,legacy,9.109487161971629
Allen_2022-03-30,Allen,160,2,methods,1.478599863126874
Allen_2022-03-30,Allen,160,2,legacy,4.071617903187871
Allen_2022-03-30,Allen,160,3,methods,1.0930774200242013
Allen_2022-03-30,Allen,160,3,legacy,2.630281531950459
Allen_2022-03-30,Allen,160,6,methods,0.8358195091132075
Allen_2022-03-30,Allen,160,6,legacy,1.312449529999867
